ROI_index,ROI_name,Area,x,y,z,Hemisphere,Cortical
65,r.parsopercularis,parsopercularis,50.7788576300085,18.4893435635124,16.2547314578005,Right,C
66,r.parsorbitalis,parsorbitalis,45.3822424892704,44.1309012875536,-11.2762875536481,Right,C
67,r.parstriangularis,parstriangularis,51.1374324753734,34.9401016841436,4.85827772481729,Right,C
68,r.pericalcarine,pericalcarine,13.9582859309822,-78.164960182025,9.08342813803565,Right,C
69,r.postcentral,postcentral,48.8187456324249,-18.6563591893781,47.0884870719776,Right,C
70,r.posteriorcingulate,posteriorcingulate,7.82599431818182,-14.8496685606061,41.1858428030303,Right,C
71,r.precentral,precentral,45.1466524343237,-4.3208800332088,45.4561465931329,Right,C
72,r.precuneus,precuneus,11.8211985756497,-55.6687627850595,40.7253579816653,Right,C
73,r.rostralanteriorcingulate,rostralanteriorcingulate,7.56498873027799,39.9117205108941,6.3114199849737,Right,C
74,r.rostralmiddlefrontal,rostralmiddlefrontal,36.3043316428605,49.9454240915647,19.7089750151212,Right,C
75,r.superiorfrontal,superiorfrontal,14.0287435241246,33.3503838711691,45.426877223644,Right,C
76,r.superiorparietal,superiorparietal,26.1792603079101,-61.8876305078747,54.4503627676517,Right,C
77,r.superiortemporal,superiortemporal,56.9801656749504,-5.92509625481274,-3.03401003383502,Right,C
78,r.supramarginal,supramarginal,57.7136823799764,-33.1648344823303,35.6274144463077,Right,C
79,r.frontalpole,frontalpole,10.0385582564962,69.3788767812238,-10.674769488684,Right,C
80,r.temporalpole,temporalpole,31.7285968028419,17.4230905861456,-34.9616341030195,Right,C
81,r.transversetemporal,transversetemporal,48.5340453938585,-16.8985313751669,10.7596795727637,Right,C
82,r.insula,insula,39.8403529411765,4.35117647058824,1.84788235294118,Right,C
