"ROI_R","n"
9,103
10,105
12,291
13,193
49,135
50,161
51,294
52,32
53,145
54,326
55,261
56,349
57,162
58,116
59,286
60,103
61,213
62,403
63,194
64,102
65,281
66,186
67,300
68,33
69,340
70,150
71,381
72,167
73,139
74,364
75,289
76,208
77,385
78,362
79,38
80,96
81,101
82,267
