"ROI_R","n"
9,12
10,13
12,14
13,13
49,12
50,13
51,14
52,11
53,14
54,14
55,14
56,15
57,12
58,14
59,14
60,14
61,13
62,15
63,14
64,13
65,14
66,14
67,14
68,11
69,14
70,12
71,14
72,13
73,13
74,14
75,14
76,14
77,15
78,14
79,9
80,12
81,12
82,14
