"ROI_index","no.pts","no.hosp","delta_coef","delta_SE","delta_singular","delta_none0_CI","theta_coef","theta_SE","theta_singular","theta_none0_CI","alpha_coef","alpha_SE","alpha_singular","alpha_none0_CI","beta_coef","beta_SE","beta_singular","beta_none0_CI","gamma_coef","gamma_SE","gamma_singular","gamma_none0_CI"
9,103,12,-0.000548802879180206,0.000281416339015642,0,0,-0.00031845375358355,0.000214399497501925,0,0,0.000545609370228616,0.000169451874466011,0,1,8.88605353108508e-05,0.000239923799416118,0,0,0.000216106726213072,0.000222615073854733,0,0
10,105,13,-0.000361725959747503,0.000278747641081453,0,0,-0.000398098467230561,0.000193652650877564,0,1,0.000440790209424126,0.000160235015939785,0,1,7.46812079463263e-05,0.000200198246815378,0,0,0.000218415962959133,0.000218290818932149,0,0
12,291,14,-0.000458509390705568,0.000151578367947681,0,1,-5.31406505853708e-05,9.58991625563645e-05,0,0,0.000376373226627711,7.99756966236953e-05,0,1,0.000238111098299634,8.86993530422257e-05,0,1,-0.000149575121326318,0.000144308666297393,0,0
13,193,13,-0.000417357033529928,0.000183259211496135,0,1,1.53153102295461e-05,0.00010934517187242,0,0,0.000503032037309023,0.000103377819417314,0,1,0.000197264093214662,0.000108615487902376,0,0,-0.00038368572280274,0.000143517613798226,0,1
49,135,12,-0.00126979501195126,0.000271716481935843,0,1,-0.000329460451095739,0.000135712444695761,0,1,0.000664387043414651,0.000129297211066128,0,1,0.000650949773118578,0.000143065414385834,0,1,0.00026178542593605,0.000196371772599107,0,0
50,161,13,-0.000151313513504255,0.000222829464816163,0,0,-0.000139857145485706,0.000144549959258175,0,0,0.00019605371987167,0.000100611182907623,1,0,4.16584400090921e-05,0.00015532218546954,0,0,-7.24421208157304e-06,0.000176635844906725,0,0
51,294,14,-0.00089625197936949,0.000170592286064358,0,1,-0.000164927046462314,0.000105358631502774,0,0,0.000308446632832056,8.76215474503737e-05,0,1,0.000411672350806263,0.000119858997354865,0,1,0.000230647543203508,0.000146129900541418,0,0
52,32,11,-0.00161909703116265,0.000394537486865615,0,1,-0.000358970918865191,0.000249229825244722,0,0,0.000445371526566864,0.000222764951464157,1,1,0.000742943004587405,0.000256785062952806,0,1,0.00062334332656684,0.000331597787168176,0,0
53,145,14,-0.000410228928858415,0.000213404906586578,0,0,-0.000150296479930524,0.000128557869033711,0,0,0.000320622809406426,9.51161693163762e-05,0,1,0.000213861084998956,0.000122087455128194,0,0,-2.26670863388299e-05,0.00019355482102641,0,0
54,326,14,-0.000633266908351911,0.000139538917904702,0,1,-0.000249028680207122,8.72576654951848e-05,0,1,0.00040615189459452,7.26338972133986e-05,0,1,0.000356042827659041,7.91713335452309e-05,0,1,0.000100784038340994,0.000124924797055726,0,0
55,261,14,-0.00123187448698522,0.000172521895722543,0,1,-0.000353908761251058,0.000106293676641387,0,1,0.000540734525152996,8.59309732794794e-05,0,1,0.000580175778684038,9.87463272253182e-05,0,1,0.000366958875937956,0.000148849814507648,0,1
56,349,15,-0.000625040024728456,0.000158514251893908,0,1,-0.000255110397657687,8.81355758988857e-05,0,1,0.00051651687767743,7.65183558230901e-05,0,1,0.000329493116412584,8.82003203674262e-05,0,1,-6.78186636332542e-05,0.000123230295012711,0,0
57,162,12,-0.000646241456662429,0.000179103832957559,0,1,-0.000225831925519975,0.000116096545071107,0,0,0.000331271130734844,8.42199139301684e-05,1,1,0.000378856647064771,0.000112412939810167,0,1,0.000220302880738334,0.000182503600544742,0,0
58,116,14,-0.000878477457264206,0.00019562773638665,0,1,-0.000114357250024304,0.000131348143415093,0,0,0.000368872107618246,0.000116369859523183,0,1,0.000318417501580332,0.000105906406456847,0,1,0.000206626217369035,0.000204821111063528,0,0
59,286,14,-0.000613425204455032,0.0001745913436756,0,1,-0.000138291490438347,9.83448017259732e-05,0,0,0.000301422846843021,7.39631943737327e-05,0,1,0.00021021138576875,0.000101801594306369,0,1,0.000142963267241528,0.000152259325582045,0,0
60,103,14,-0.000511759575476245,0.000244909652305106,0,1,-0.000137462647095006,0.000147791778190456,0,0,0.000267281920023545,0.000119052709933891,0,1,0.000276916857981305,0.00012872311310964,1,1,7.92536532309321e-05,0.000253924249287354,0,0
61,213,13,-0.00054204406694624,0.000182693857852961,0,1,4.52286689064476e-05,0.000114665928515522,0,0,0.000261771909888698,8.47347071924227e-05,0,1,0.000102937415681289,0.000111371422933319,0,0,7.71498116967057e-06,0.000163038819091472,0,0
62,403,15,-0.000859324400912323,0.00015177828112212,0,1,-0.000210919985019998,7.78656853880691e-05,0,1,0.000548216011326868,6.82375549678023e-05,0,1,0.000444513453431635,8.01274315614883e-05,0,1,-2.43202839095215e-05,0.000111302563853383,0,0
