"ROI_R","n"
9,13
10,14
12,14
13,14
49,14
50,14
51,15
52,12
53,14
54,14
55,15
56,15
57,13
58,15
59,15
60,13
61,14
62,15
63,14
64,14
65,15
66,15
67,15
68,13
69,15
70,13
71,15
72,14
73,14
74,15
75,15
76,15
77,15
78,15
79,10
80,13
81,13
82,14
